Sport,21-22,22-23,23-24,24-25
Baseball,$0.00,$85.00,$120 + Firefly free products ($136 value) + Easton Free products X5 (value unknown),$0.00 +10% commission when customer uses student-athletes code for Clean Fuego
Men's Basketball,$0.00,$60.00,$170.00,$0.00 + 1 Free Smeeple profile and promotion in national campaign
Men's Golf,$0.00,$0.00,$0.00,$0.00
Men's Track,$0.00,$0.00,$85.00,$10.00
Men's Soccer,$0.00,$0.00,$25 + Liquid IV free product X2 ($49.98 value),$0.00 + 1 Free Smeeple profile and promotion in national campaign
Men's Water Polo,$0.00,$0.00,$0.00,$0.00
Softball,$0.00,$75.00,$731.22,$375.00
Women's Basketball,$60.00,$0.00,$0.00,$0.00
Women's Golf,$0.00,$0.00,$3.00,$0.00
Women's Track,$0.00,$0.00,$15.02 + Liquid IV free product X4 ($99.96 value),$100.00
Women's Soccer,$0.00,$0.00,$375 + Liquid IV free product X3 ($74.97 value),$0.00
Women's Tennis,$0.00,$0.00,$0.00,$0.00
Women's Volleyball,$0.00,$0.00,$5.00,$0.00
Women's Water Polo,$0.00,$0.00,$15.00,$10.00