Athlete,Total Quantity Sold,Total Orders,Total Sales
Baseball,39,11,"$1,993.00"
Baseball,33,14,"$1,668.99"
Volleyball,36,10,"$1,544.99"
Volleyball,25,9,"$1,194.00"
Baseball,21,7,"$1,186.00"
Women’s Basketball,22,4,"$1,182.73"
Baseball,24,12,"$1,124.00"
Baseball,21,10,"$1,121.99"
Women's Soccer,22,8,"$1,097.99"
Baseball,20,10,"$1,024.00"
Men’s Basketball,18,12,"$1,023.10"
Baseball,16,6,"$1,011.99"
Baseball,17,10,"$1,008.99"
Softball,16,7,$875.99
Softball,17,12,$795.99
Baseball,16,6,$714.00
Volleyball,15,7,$698.99
Baseball,15,7,$673.00
Women's Soccer,10,5,$648.99
Baseball,14,6,$646.00
Women's Soccer,11,5,$613.99
Baseball,11,6,$582.00
Men's Swimming & Diving,14,2,$569.50
Women's Soccer,8,4,$557.99
Softball,8,3,$557.98
Women’s Basketball,9,4,$553.99
Beach Volleyball,12,6,$504.00
Baseball,10,2,$487.48
Softball,9,2,$476.10
Beach Volleyball,10,3,$473.00
Baseball,10,6,$472.00
Men's Track & Field,10,6,$462.80
Women's Soccer,8,3,$444.00
Women's Soccer,8,4,$441.00
Women's Soccer,9,3,$421.00
Baseball,7,3,$417.99
Men's Soccer,10,4,$414.00
Volleyball,9,5,$414.00
Women's Soccer,8,3,$410.99
Baseball,9,5,$405.00
Men's Track & Field,8,6,$394.00
Baseball,8,3,$378.00
Women's Soccer,8,2,$375.00
Softball,7,2,$370.49
Women's Soccer,8,2,$369.00
Women’s Basketball,8,4,$367.00
Women's Soccer,8,4,$358.00
Softball,9,2,$357.00
Softball,4,3,$350.00
Women's Track & Field,6,2,$344.70
Men's Soccer,8,1,$337.00
Beach Volleyball,8,4,$332.00
Women's Soccer,5,1,$329.00
Baseball,6,5,$318.00
Volleyball,7,2,$310.00
Women's Soccer,7,3,$309.00
Baseball,4,3,$299.00
Men's Track & Field,6,2,$291.00
Beach Volleyball,7,3,$289.00
Softball,7,3,$287.00
Women's Soccer,5,4,$284.48
Baseball,5,3,$268.00
Softball,5,2,$260.00
Women's Track & Field,6,5,$258.00
Women's Soccer,6,1,$232.00
Baseball,4,2,$232.00
Women’s Basketball,3,2,$225.00
Beach Volleyball,4,1,$212.00
Baseball,5,3,$211.00
Women’s Basketball,3,2,$202.00
Baseball,4,1,$200.00
Women's Soccer,4,2,$196.00
Baseball,3,2,$189.00
Women's Soccer,4,1,$189.00
Volleyball,4,1,$184.00
Men’s Basketball,4,1,$184.00
Wrestling,3,1,$174.99
Baseball,4,1,$174.00
Women's Soccer,4,3,$174.00
Women's Soccer,3,1,$174.00
Women's Soccer,3,3,$173.00
Softball,4,4,$170.00
Women's Soccer,4,3,$168.00
Wrestling,3,1,$165.00
Women’s Basketball,3,2,$155.25
Baseball,3,2,$147.00
Men's Swimming & Diving,3,3,$143.85
Men's Soccer,3,1,$136.80
Wrestling,3,3,$121.00
Women's Soccer,3,2,$120.00
Cheerleading,3,1,$115.00
Women’s Basketball,1,1,$110.00
Wrestling,2,2,$100.00
Men's Soccer,1,1,$99.00
Softball,2,2,$98.00
Men's Swimming & Diving,2,1,$95.00
Softball,2,1,$75.00
Women's Track & Field,1,1,$65.00
Men's Swimming & Diving,1,1,$63.00
Women's Track & Field,1,1,$49.00
Baseball,1,1,$47.00
Wrestling,1,1,$47.00
Women's Soccer,1,1,$44.00
Women's Soccer,1,1,$44.00
Men's Swimming & Diving,1,1,$42.00
Softball,1,1,$40.00
Women's Soccer,1,1,$39.00
Beach Volleyball,1,1,$37.00