Sport Type,Transaction ID,Transaction Type,Cost,Payment Type,Vendor Name,Vendor Point of Contact,Submitted Date
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Football,EA Sports College FB Video Game,Royalty,$600.00,cash,Electronic Arts,Sami Robbins,10/30/2024
Volleyball (Womens),Vuori,Social Media,$300.00,cash,Vuori,Alana,8/12/2024
Water Polo (Womens),Social Media Posts,Social Media,$200.00,cash,Halfday Iced Teas,98 Strong,8/21/2024
Volleyball (Beach),Brand Ambassador,Social Media,$243.00,product,Slunks,Charlie,7/9/2024
Gymnastics (Womens),Fashion Show,Public Appearance,$203.00,product,Athleta,Natalie Clendening,6/20/2024
Gymnastics (Womens),Athleta Fashion Show,Other,$200.00,product,Athleta,Natalie Clendening,6/28/2024
Field Hockey,Posying For A Brand,Social Media,$200.00,product,Market Pryce,Jason Bergman,7/3/2024
Volleyball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$3.08,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$2.24,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Cross Country,Modeling,Social Media,$300.00,product,Natalie B Designs,Natalie Schroeder,6/5/2024
Volleyball (Womens),Clean Energy,Social Media,$200.00,cash,The CAPS Group LLC,Brad Blevins,6/6/2024
Field Hockey,Posting,Social Media,$150.00,cash,BAMnut,98strong Website,6/1/2024
Volleyball (Womens),Protein Supplemental Exchange,Social Media,$200.00,cash,Orgain,98 Strong Team,9/28/2024
Volleyball (Womens),Product Exchange,Social Media,$250.00,product,Ready Nutrition,Pat Cavanaugh,5/17/2024
Field Hockey,Content Creation,Social Media,$125.00,cash,WhatIF Foods,98Strong Company,5/18/2024
Softball,Fanatics,Royalty,$2.24,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$5.60,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$3.36,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$5.60,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Lacrosse (Womens),Emily Moes,Social Media,$150.00,cash,Vuori Clothing,Alana,5/11/2024
Volleyball (Womens),Bathing Suit Promotion,Social Media,$200.00,product,Berlook,Cherry,9/28/2024
Soccer (Womens),What If Foods BAMnut Milk,Social Media,$150.00,cash,What IF foods,98 Strong,5/11/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Womens),Sangria Senorial,Social Media,$150.00,cash,Sangria Senorial,98 Strong,5/9/2024
Soccer (Mens),Zack Andoh,Other,$13.55,cash,NIL Club,Bailey OSullivan,5/10/2024
Lacrosse (Womens),Vuori Clothing Deal,Social Media,$150.00,cash,Vuori,Alana,5/8/2024
Field Hockey,Liquid Iv,Social Media,$50.00,product,Liquid IV,MOGL Platform,5/8/2024
Cross Country,2024 SF Giants Affiliate Program,Social Media,$50.00,product,SF Giants,Amy Oum,5/8/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Gameday Greats by Prosphere,Royalty,$8.74,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$3.08,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Gameday Greats by Prosphere,Royalty,$5.82,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$23.52,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Mens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Mens),Fanatics,Royalty,$17.07,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$15.68,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Volleyball (Womens),Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$15.68,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$5.88,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Gameday Greats by Prosphere,Royalty,$2.91,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Gameday Greats by Prosphere,Royalty,$5.82,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Soccer (Mens),Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$15.68,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Baseball,Gameday Greats by Prosphere,Royalty,$2.91,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$2.74,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$3.36,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Gameday Greats by Prosphere,Royalty,$5.09,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$74.48,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$54.88,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$31.36,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,10/30/2024
Basketball (Womens),Gameday Greats by Prosphere,Royalty,$2.54,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$83.89,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$11.76,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$27.44,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$2.94,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Gameday Greats by Prosphere,Royalty,$2.69,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Gameday Greats by Prosphere,Royalty,$2.69,cash,Gameday Greats by Prosphere,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$8.82,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Softball,Fanatics,Royalty,$3.08,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$27.44,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$19.60,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$9.80,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$0.98,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,10/30/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,10/30/2024
Volleyball (Beach),Social Media Content,Social Media,$550.00,product,Vuori,Alana,4/28/2024
Soccer (Mens),Clio Bars ‐ 98Strong Deal,Social Media,$150.00,cash,98Strong,Alana,5/8/2024
Softball,April NIL Activation 2024,Social Media,$600.00,cash,CONIC (Athlete Licensing Co),CONIC (Athlete Licensing Co),11/7/2024
Football,Nil Club,Not Sure,$12.20,cash,Nil club,Bailey O Sullivan,4/24/2024
Soccer (Womens),Nyx Cosmetics,Social Media,"$2,500.00",product,NYx Cosmetics,Lexi Barboza,4/26/2024
Soccer (Womens),NIL Club,Not Sure,$33.26,cash,Yoke Global Inc.,Bailey OSullivan,4/9/2024
Volleyball (Womens),Social Media Advertising,Social Media,$70.00,product,Happy Viking,Roccio,3/30/2024
Gymnastics (Womens),european wax center,Not Sure,$60.00,cash,european wax center,alisa velencia,4/3/2024
Track and Field (Mens),Content Creation,Social Media,$150.00,cash,Vktry Partnership,Ashley Whalen,3/7/2024
Volleyball (Womens),30 Day Skin Transformation Video Content,Social Media,$150.00,product,J. S Health Vitamins,Matilda,3/8/2024
Volleyball (Beach),Social Media Post,Social Media,$15.00,product,Oat Haus,Oat Haus,4/23/2024
Soccer (Womens),Ambassador,Social Media,$200.00,product,Steve madden,Postgame,4/26/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,11/1/2024
Football,Fanatics,Royalty,$24.08,cash,Fanatics,Sami Robbins,11/1/2024
Football,Fanatics,Royalty,$3.92,cash,Fanatics,Sami Robbins,11/1/2024
Rowing (Mens),Airport of Champions,Social Media,$234.00,cash,Airport of Champions,Opendorse,8/26/2024
Volleyball (Womens),Video Promotion,Social Media,$250.00,product,Reboot Float And Cryo Spa,Allison Baird,3/9/2024
Swimming/Diving (Mens),Firefly Recovery Ambassador,Social Media,$125.00,cash,Firefly Recovery,Lauren Campbell,3/12/2024
Gymnastics (Womens),Fellowship Program,Social Media,"$1,000.00",cash,The Team,Elizabeth Ford,3/17/2024
Rowing (Womens),Cal x Airport of Champions,Social Media,$234.37,cash,Oakland Airport,Not Sure,3/7/2024
Softball,March NIL Activation,Social Media,$600.00,cash,CONIC (Athlete Licensing Co),CONIC (Athlete Licensing Co),11/7/2024
Cross Country,PR Package,Social Media,$100.00,product,Hype & Vice,Mariana Corella,3/13/2024
Football,Agency Rep Agreement,Representation Disclosure,$0.00,cash,brad blevins,Brad Blevins,3/14/2024
Volleyball (Beach),Brand Promotion,Social Media,$120.00,cash,Bonheur Jewelry,Alicia Smith,3/6/2024
Basketball (Mens),MOGL,Social Media,"$1,500.00",cash,Thorlo Socks,MOGL Team,10/30/2024
Volleyball (Womens),Climate Power Influential Post,Social Media,$300.00,cash,Xomad (ig‐ @climatepower),Imabelle Velasco,3/6/2024
Field Hockey,Posting On Instagram for Brand,Social Media,$300.00,product,Edikted Clothing Brand,Martina,3/14/2024
Volleyball (Womens),Amazon Storefront Campaign,Business Ownership/Creation,$500.00,cash,Amazon,Gemma Weinstein,3/5/2024
Volleyball (Womens),Modeling,Social Media,$300.00,product,Boba Guys,Bin Chen,4/15/2024
Volleyball (Womens),Content Creation Event,Social Media,$150.00,product,Boutine Los Angeles,boutinelababes (ig),3/5/2024
Football,Cal Legends Collective,Social Media,"$16,667.00",cash,Ca Legends,Ca Legends,3/2/2024
Football,Fanatics,Royalty,$2.24,cash,Fanatics,Sami Robbins,11/1/2024
Football,Fanatics,Royalty,$7.84,cash,Fanatics,Sami Robbins,11/1/2024
Volleyball (Womens),Fanatics,Royalty,$3.36,cash,Fanatics,Sami Robbins,11/1/2024
Football,Fanatics,Royalty,$1.96,cash,Fanatics,Sami Robbins,11/1/2024
Volleyball (Womens),Fanatics,Royalty,$2.24,cash,Fanatics,Sami Robbins,11/1/2024
Volleyball (Womens),Fanatics,Royalty,$1.12,cash,Fanatics,Sami Robbins,11/1/2024
Volleyball (Womens),Fanatics,Royalty,$14.84,cash,Fanatics,Sami Robbins,11/1/2024
Football,Fanatics,Royalty,$2.16,cash,Fanatics,Sami Robbins,11/1/2024
Softball,February NIL Activation,Social Media,$600.00,cash,CONIC (Athlete Licensing Co),CONIC (Athlete Licensing Co),11/7/2024
Softball,January NIL Activation,Social Media,$600.00,cash,CONIC (Athlete Licensing Co),CONIC (Athlete Licensing Co),11/7/2024
Soccer (Womens),Modeling,Outside Employment,"$1,500.00",cash,Oiselle,Carr,8/22/2024
Baseball,Cal Legends Post,Social Media,"$1,000.00",cash,Cal Legends,Club Nillionare,8/20/2024
Baseball,instagram/twitter post,Social Media,"$1,000.00",cash,cal legends,club nillionaire,4/17/2024
Baseball,Instagram Post,Social Media,"$10,000.00",cash,Cal Legends,Marshawn Lynch,4/16/2024
Football,MOGL,Social Media,$0.00,cash,Liquid IV,Olivia Diomede,10/30/2024
Volleyball (Womens),Mentor Young Athletes,Other,$650.00,cash,Athlete To Athlete,Zach Maisus,3/5/2024
Soccer (Womens),Modeling Job,Outside Employment,"$2,000.00",cash,BDA,Elena Ho,9/1/2024
Soccer (Womens),Modeling Job,Outside Employment,"$1,500.00",cash,Budha Girl,Alicia Best,9/1/2024
Soccer (Womens),Modeling,Outside Employment,"$1,200.00",cash,Adidas,Madeleine Meyers,8/22/2024
Volleyball (Womens),Brand Athlete Representative,Representation Disclosure,$500.00,product,PBfit,Mason Hayes,3/5/2024