Academic Year,Sport,Name of your institution:,Name of Business:,Type of Endorsement:,"Proposed Payment Amount (i.e. $5 per post, $500 per appearance, etc.):"
2021-22,Women's Track,"University of California, Riverside",National Academy of Sports Medicine,Commercial/Radio Spot,$700 per day
2022-23,Men's Basketball,"University of California, Riverside",VKTRY,Social Media,"100 per post. 500 if it gets 10,000+ likes"
2022-23,Women's Golf,"University of California, Riverside",Liquid IV,Social Media,monthly restocks of the product
2022-23,Women's Soccer,"University of California, Riverside",Netflix,Commercial/Radio Spot,$300 per rehearsal/shoot day
2022-23,Women's Soccer,"University of California, Riverside",Netflix,Commercial/Radio Spot,$350 per appearance
2022-23,Men's Basketball,"University of California, Riverside",Slater's 50/50,Social Media,$0
2022-23,Women's Golf,"University of California, Riverside",Youth on Course,Social Media,$250
2022-23,Men's Soccer,"University of California, Riverside",Inland Empire Cryotherapy Solutions,Social Media,$100
2023-24,Softball,"University of California, Riverside",98strong,Social Media,150
2023-24,Men's Soccer,"University of California, Riverside",CrksOly,Social Media,product
2023-24,Men's Soccer,"University of California, Riverside",CVY co,Social Media,n/a
2023-24,Men's Soccer,"University of California, Riverside",Cvy,Social Media,$0
2023-24,Men's Soccer,"University of California, Riverside",CVY.CO,Social Media,0
2023-24,Men's Soccer,"University of California, Riverside",Crksoly,Social Media,N/A
2023-24,Men's Soccer,"University of California, Riverside",Cracks Only,Social Media,0
2023-24,Softball,"University of California, Riverside",whatif food,Social Media,150
2023-24,Softball,"University of California, Riverside",Liquid IV,Social Media,2 Products
2023-24,Men's Basketball,"University of California, Riverside",Built - protein bar company,Social Media,N/a
2023-24,Men's Basketball,"University of California, Riverside",Apartament list,Social Media,500 per post
2023-24,Women's Track,"University of California, Riverside",Orgain Protein,Social Media,10% commission
2023-24,Volleyball,"University of California, Riverside",Inland Empire Cryotherapy,Appearance without autographs,$75 gift card + 1 free cryotherapy session
2023-24,Softball,"University of California, Riverside",Owala,Social Media,n/a
2024-25,Women's Soccer,"University of California, Riverside",Prime,Social Media,N/A- opportunities for cash pay outs but not necessarily a confirmation for every month
2024-25,Women's Track,"University of California, Riverside",Switch4Good,Social Media,0
2024-25,Women's Track,"University of California, Riverside",Insomnia Cookies,Social Media,0
2024-25,Women's Basketball,"University of California, Riverside",olipop/98strong,Social Media,$50
2024-25,Women's Basketball,"University of California, Riverside",Firefly,Social Media,$0